canonical,total_mentions,primary_type,english_language,description
Kirkland Organic,3,other,english,"Kirkland Organic is a Kirkland Signature organic grocery/product label, not a knife-specific entity."
Murray's,3,other,unclear,"Possessive form of a name; likely refers to a person, business, or brand called Murray's, but the specific entity is unclear from context."
Masseria Mirogallo,3,other,unclear,"Unclear entity name; appears to be a proper noun, possibly a place or maker, but not enough context to identify it as a knife-related brand, retailer, publication, community, smith, or product term."
Mina,3,other,unclear,"Ambiguous name; could refer to a person, place, or brand, but not enough context to identify a knife-related entity."
Zoe,3,other,unclear,"A personal name; in a knife-discussion context this could refer to a person or brand, but there isn't enough context to identify it."
NYIOOC World Olive Oil Competition,3,other,english,"World olive oil competition (New York International Olive Oil Competition), an awards event rather than a knife-related brand or publication."
Flos Olei,3,other,unclear,"Unknown entity name; not recognized as a knife brand, retailer, publication, community, smith, or product term in the knife context."
NYIOOC,3,other,english,"NYIOOC (New York International Olive Oil Competition), an olive oil competition/award organization sometimes mentioned in food media contexts."
Bon Appétit,3,publication,english,US food and lifestyle magazine/publication
extra virgin olive oil (EVOO),2,product_term,english,"Extra virgin olive oil; a culinary ingredient/food term, not a knife brand or retailer."
EVOO,2,product_term,english,"Abbreviation for extra-virgin olive oil, a cooking ingredient often mentioned in kitchen contexts."
Costco,2,retailer,english,US membership warehouse retailer that sometimes sells kitchen knives and cookware
Tuscany,2,other,unclear,Tuscany is a region in Italy; in a knife-discussion context it is likely a geographic place name rather than a knife-specific brand or term.
Greece,2,other,unclear,"Country in southeastern Europe; not a knife-specific brand, publication, retailer, community, smith, or product term."
Spain,2,other,unclear,"Country in Europe; not a knife brand, retailer, publication, community, smith, or product term."
Alziari,2,other,unclear,"Name associated with olive oil/food products; not clearly a knife brand, retailer, publication, community, smith, or knife-specific product term."
Marqués de Griñón,2,other,non_english,Spanish noble title/name; not a knife brand or knife-industry entity.
Katz Farm,2,other,unclear,"Possibly a farm or place name; not clearly a knife brand, retailer, publication, community, smith, or product term in the knife context."
Gaea Fresh,2,other,unclear,"Unclear entity name; possibly a brand or product name, but not enough context to identify it as a knife-related brand, retailer, publication, community, smith, or product term."
Frantoio Franci,2,other,unclear,Italian olive oil producer/brand; not a knife-related entity
Seka Hills,2,other,english,California olive oil and food brand/producer; not a knife-specific entity.
Kirkland Signature EVOO,2,other,english,"Kirkland Signature extra virgin olive oil (EVOO), a private-label grocery product brand sold by Costco."
Arbequina,2,other,unclear,"A cultivar name; in knife discussions it may refer to Arbequina olives or olive oil, not a knife-specific brand or term."
Oro Bailén,2,other,unclear,Spanish olive oil producer/brand; not a knife-related entity
Enzo Olive Oil,2,other,unclear,Olive oil product/ingredient associated with knife maintenance or food use; not a knife brand or knife-related publication/retailer/community.
The Governor,2,other,unclear,"Ambiguous title/name; could refer to a person, product, or other entity, but not enough context to identify it as a knife-related brand or term."
Frantoi Cutrera,2,other,non_english,Italian olive oil producer/brand; not a knife-related entity.
Mani,2,other,unclear,"Ambiguous name; could refer to a person, place, or brand, but not enough context to identify it as a knife-related entity."
Nudo,2,knife_brand,unclear,"Knife-related brand or maker name; likely a knife brand, but the specific identity and language presence are not clear from the name alone."
Saveur,2,publication,english,Food and cooking magazine/publication; in knife discussions it may be cited for reviews or recipes.
Food & Wine,2,publication,english,US food and wine magazine/publication
New York International Olive Oil Competition,2,other,english,International olive oil competition based in New York; not a knife brand or knife-specific entity.
Serious Eats,2,publication,english,"US food and cooking publication with recipes, reviews, and kitchen equipment coverage"
medium-quality EVOO,1,product_term,english,Abbreviation for extra-virgin olive oil; a food ingredient/quality descriptor rather than a knife-specific entity.
olive oil,1,other,unclear,Edible oil made from olives; a cooking ingredient rather than a knife-related brand or term.
Kirkland (Costco),1,retailer,english,"Costco's Kirkland private-label brand, used on kitchen goods and other consumer products."
Olive Oil Lovers,1,community,english,"Online community or audience of people interested in olive oil, likely a forum/blog/social group rather than a knife brand."
Sicily,1,other,unclear,"Sicily is a geographic region and island in Italy, not a knife-specific brand or term."
Tuscan Italian,1,other,unclear,"A geographic/cultural descriptor referring to something from Tuscany, Italy; not a knife brand or knife-specific term."
Spanish Picual,1,product_term,unclear,"Spanish Picual: a Spanish olive cultivar/varietal often mentioned as an olive oil term, not a knife brand or retailer."
Greek Koroneiki,1,product_term,unclear,Greek olive cultivar used for olive oil; not a knife-specific brand or term.
California artisan EVOO,1,product_term,english,Extra-virgin olive oil (EVOO) from California; a food product term rather than a knife-specific entity.
Liguria,1,other,unclear,Liguria is an Italian region; in a knife context it may refer to a place rather than a knife-specific brand or term.
Castelas,1,knife_brand,non_english,French knife maker/brand associated with premium kitchen knives.
Liokareas,1,knife_brand,unclear,"Knife-related brand or maker name; likely a knife brand, but I can't confidently identify its market language presence from the name alone."
Di Bruno Bros,1,retailer,english,"Philadelphia-based specialty food retailer and gourmet market; not a knife maker, but a retail brand that may sell kitchen goods."
Capezzana,1,other,unclear,"Unclear entity in a knife-discussion context; Capezzana is not obviously a knife brand, retailer, publication, community, smith, or product term."
Roi Cru,1,other,unclear,"Unclear entity name in a knife-discussion context; possibly a person or brand, but not enough information to identify confidently."
Kirkland Organic Extra Virgin,1,other,english,"Kirkland Organic Extra Virgin appears to be a Kirkland Signature grocery product, likely extra virgin olive oil, sold under Costco's house brand."
Roi Badalucco,1,smith,english,Individual bladesmith/knife maker associated with premium kitchen knives.
Lucero,1,knife_brand,unclear,"Ambiguous name; could refer to a knife brand or a person/place, but in a knife-discussion context likely a brand or maker name."
A L’Olivier,1,other,unclear,"A L’Olivier is likely an olive oil brand or producer, not a knife-specific entity."
Agrumato,1,other,unclear,"Unclear reference in a knife-discussion context; could be a brand or term, but not enough information to identify confidently."
Terre Bormane,1,other,unclear,"Unclear entity name; possibly a person or brand, but not enough context to identify it confidently."
Castelvetrano-region oils,1,other,unclear,Oils from the Castelvetrano region; not a knife brand or knife-specific entity.
Koroneiki,1,other,unclear,An olive cultivar name; not a knife-specific entity.
Picual,1,other,unclear,"An olive cultivar/variety name, not a knife brand or knife-related publication/retailer/community."
Sitio da Torre,1,other,unclear,"A place name or estate name; not a knife brand, retailer, publication, community, smith, or product term."
Oro del Desierto,1,other,non_english,"Spanish olive oil producer/brand; not a knife brand, but a food product name sometimes mentioned in kitchen contexts."
Pianogrillo,1,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Stonehouse,1,knife_brand,unclear,"Knife-related name 'Stonehouse'; likely a brand or maker, but I can't confidently identify which one from the name alone."
Mori-Tem,1,knife_brand,unclear,"Knife-related name; likely a knife brand or maker, but I can't confidently identify it from the name alone."
Kali,1,other,unclear,"Ambiguous term; could refer to a person, place, or brand, but in a knife-discussion context it is not clearly identifiable as a specific knife-related entity."
Rincon de la Subbética,1,other,unclear,Spanish olive oil brand/product name; not a knife-specific entity
Kirkland Organic EVOO,1,other,english,"Kirkland Organic EVOO is a Kirkland Signature organic extra-virgin olive oil product, not a knife-related brand or term."
Trader Joe’s EVOO,1,other,english,"Trader Joe’s extra-virgin olive oil (EVOO), a grocery/private-label food product rather than a knife-related entity."
Núñez de Pino,1,other,unclear,"A surname-like Spanish name; likely a person or family name, not a knife brand or knife-related product term."
Costco's Kirkland extra virgin,1,other,english,Costco's Kirkland extra virgin olive oil/private-label grocery product line; not a knife-related entity.
Costco Kirkland,1,retailer,english,"Costco's Kirkland private-label retail brand sold through Costco; in knife context, refers to Kirkland-branded products from the US retailer."
Trader Joe's Spanish,1,retailer,english,Trader Joe's is a US grocery retailer; 'Spanish' appears to be a modifier rather than part of the entity name.
Lorenzo No. 5,1,product_term,unclear,A knife model designation; likely refers to a specific knife size or line name rather than a brand or person.
Ellora Farms,1,other,unclear,"Brand name that does not appear to be a knife-specific entity; likely a food or consumer brand, but not enough context to identify it confidently."
Rincón de la Subbética,1,other,non_english,"Spanish olive oil brand/product name; not a knife-related brand, but a food product from Spain."
Citro,1,other,unclear,"Unclear reference in a knife-discussion context; 'Citro' could be a brand, person, or other entity, but I can't confidently identify it from the name alone."
Señorío de Montanera,1,other,non_english,"Spanish food brand/producer known for Iberian ham and related products, not a knife brand."
Finca La Torre,1,other,unclear,"Spanish olive oil estate/producer; not a knife brand, retailer, publication, community, smith, or knife product term."
Aegean Gold,1,other,unclear,"Unclear entity name; could be a product line, finish, or color descriptor, but not enough context to identify it as a knife brand, publication, retailer, community, smith, or product term."
Citizens of Soil,1,other,unclear,"Unclear entity name; could refer to a phrase, group, or brand, but not enough context to identify it as a knife-related entity."
Masseria San Domenico,1,other,unclear,"An Italian luxury resort/hotel name; not a knife brand, retailer, publication, community, smith, or product term."
Hellenic Farms,1,other,unclear,"A business or brand name; likely a food or agricultural company, not a knife-specific entity."
Sitio de Calahorra,1,other,unclear,A place name in Spain; likely a geographic/location reference rather than a knife brand or knife-related entity.
Mori Teman,1,other,unclear,"Unrecognized name in a knife-discussion context; possibly a person or brand, but not enough information to identify confidently."
Principia,1,other,unclear,"Ambiguous name; could refer to a principle or a brand/entity, but not enough context to identify it as a knife-related entity."
North American Olive Oil Association,1,other,english,"Industry association related to olive oil; not a knife brand, retailer, publication, community, smith, or product term."
Williams Sonoma,1,retailer,english,US kitchenware and home goods retailer
Eataly,1,retailer,english,International Italian food hall and marketplace with retail locations and online presence; in knife discussions often a place that sells kitchen knives and cookware.
FLOS OLEI,1,publication,unclear,Italian guide and ranking publication for olive oils; not a knife-specific brand or retailer.
Eater,1,publication,english,"Food and dining publication and website; often covers restaurants and culture, not a knife brand."
Los Angeles International,1,other,english,"Los Angeles International; likely refers to Los Angeles International Airport or a similarly named place, not a knife-specific brand or term."
Gustiamo,1,retailer,english,"Italian food retailer and importer known for specialty ingredients and kitchen goods, with English-language online presence."
The Olive Oil Times,1,publication,english,Publication focused on olive oil news and information; English-language media brand.
The Olive Press,1,publication,english,"Publication or media outlet; likely a food/cooking publication or blog, but the exact outlet is unclear from the name alone."
Kirkland Signature Organic Extra Virgin Olive Oil,1,other,english,"Kirkland Signature branded organic extra virgin olive oil, a grocery/private-label food product rather than a knife-related entity."
premium EVOO,1,product_term,english,"Premium extra-virgin olive oil (EVOO), a food ingredient/product term rather than a knife-specific entity."
DeLallo,1,other,english,"Brand name for DeLallo, a food retailer/producer known for Italian groceries and ingredients."
Kirkland Organic (Costco),1,retailer,english,"Costco house-brand organic grocery label/retail brand, not a knife-specific entity."
NAOOA,1,other,unclear,"Unknown acronym; not clearly a knife-related brand, retailer, publication, community, smith, or product term from the provided context."
