canonical,total_mentions,primary_type,english_language,description
Kirkland Organic,4,other,english,"Kirkland Organic is a Kirkland Signature organic grocery/product label, not a knife-specific entity."
Frankies 457,4,other,english,"Likely Frankies 457 Spuntino, a New York restaurant brand; not a knife brand or knife-specific publication/retailer/community."
Marqués de Griñón,4,other,unclear,Spanish noble title/name; not a knife-specific brand or term in this context.
Terra Delyssa,4,other,unclear,Brand name for an olive oil company; not a knife-specific entity.
Oro Bailén Picual,4,other,unclear,"Spanish olive oil cultivar/label; not a knife entity, but a food product term."
Galantino,4,knife_brand,unclear,"Unclear knife-related name; possibly a brand or maker, but not enough context to identify confidently."
Costco,4,retailer,english,US membership warehouse retailer that sometimes sells kitchen knives and cookware
Bona Furtuna,4,other,english,"Italian-American food brand and specialty retailer known for pasta, olive oil, and pantry goods; mentioned in a kitchen context but not a knife brand."
Kirkland Organic (Costco),3,other,english,Costco's Kirkland Organic private-label product line; not a knife-specific entity.
refined olive oil,3,product_term,english,A culinary ingredient term referring to olive oil that has been refined for a milder flavor and higher smoke point.
light olive oil,3,product_term,english,"A type of olive oil labeled as light, referring to a culinary ingredient rather than a knife-specific brand or person."
Kirkland Signature EVOO,3,other,english,"Kirkland Signature extra-virgin olive oil (EVOO), a private-label grocery product brand sold by Costco."
EVOO,3,product_term,english,"Abbreviation for extra-virgin olive oil, a cooking ingredient often mentioned in kitchen contexts."
Williams Sonoma,3,retailer,english,US kitchenware and home goods retailer with strong English-language branding
Villa Magra,3,other,unclear,"Unclear reference in a knife context; possibly a place name or specific product line, but not enough context to identify as a knife brand, retailer, publication, community, smith, or product term."
Spain,3,other,unclear,"Country in southwestern Europe; not a knife-specific brand, publication, retailer, community, smith, or product term."
Italy,3,other,unclear,"Country in Southern Europe; not a knife brand, retailer, publication, community, smith, or product term."
Arbequina,3,other,unclear,"A cultivar name; in knife discussions it may refer to Arbequina olives or olive oil, not a knife-specific brand or term."
Picual,3,other,unclear,An olive cultivar/variety name; not a knife brand or knife-specific term.
Olio Roi,3,knife_brand,non_english,Italian knife brand/producer known for olive wood and kitchen cutlery; outward branding is primarily Italian.
Chiavalon,3,knife_brand,non_english,Italian knife brand known for kitchen knives; outward branding is primarily Italian/European rather than English-language.
The Olive Oil Emporium,3,retailer,english,Retailer or specialty shop focused on olive oil and related gourmet food products.
Esporão,3,other,unclear,"Portuguese word/name; in a knife-discussion context it does not clearly refer to a knife brand, retailer, publication, community, smith, or product term."
OliveOilLovers.com,3,publication,english,Website/publication focused on olive oil lovers; likely a content site rather than a knife-specific brand.
Marques de Valdueza,3,other,unclear,A Spanish noble title/name; not a knife brand or knife-related entity.
Finca la Torre,3,other,unclear,"Spanish olive oil estate/producer; not a knife brand, retailer, publication, community, smith, or knife product term."
Monini,3,knife_brand,unclear,"Unclear from context; likely a brand name, but not enough information to determine whether it refers to a knife-related entity or its language/market presence."
Katz Farm,3,other,unclear,"Unclear entity name; possibly a farm or place name, but not enough context to identify it as a knife-related brand, retailer, publication, community, smith, or product term."
Bono,3,other,unclear,"Ambiguous name; could refer to multiple entities, but no clear knife-discussion-specific identification from the name alone."
Titone,3,knife_brand,non_english,Italian knife maker/brand known for kitchen knives; likely an Italian-language brand name.
Oliviers & Co.,3,retailer,english,"French gourmet food retailer and brand that sells kitchen goods, including knives and culinary products."
Food & Wine,3,publication,english,US food and wine magazine/publication
Serious Eats,3,publication,english,US food and cooking publication with recipe and equipment reviews
Bon Appétit,3,publication,english,US food and lifestyle magazine/publication
Atlas Olive Oils,3,other,unclear,"Olive oil brand/producer; not a knife-related entity, but a food product company."
EXAU Olive Oil,3,other,unclear,Olive oil brand/product name; not a knife-specific entity.
Kirkland (Costco),2,retailer,english,"Costco's Kirkland private-label brand, used on kitchen goods and other consumer products."
extra virgin olive oil (EVOO),2,product_term,english,"Extra virgin olive oil; a culinary ingredient/food term, not a knife-specific brand or person."
avocado oil,2,product_term,english,"Cooking oil pressed from avocados, sometimes mentioned as a knife-care or cooking ingredient."
extra virgin olive oil,2,product_term,english,"Cooking oil made from olives, specifically the highest-grade olive oil used for flavor and finishing."
Extra Virgin Olive Oil,2,product_term,english,Cooking oil made from the first pressing of olives; a pantry ingredient rather than a knife-specific entity.
Château d'Estoublon,2,other,non_english,"French château and estate/producer known for olive oil and wine, not a knife-related brand or retailer."
Di Bruno Bros,2,retailer,english,"Philadelphia-area specialty food retailer and gourmet market; not a knife maker, but a store/brand that may be mentioned in kitchen context."
Murray's,2,other,unclear,"Possessive form of a name ('Murray's'); in a knife-discussion context this could refer to a person, shop, or brand, but the specific entity is not identifiable from the name alone."
Oleoestepa,2,other,unclear,Spanish olive oil producer/brand; not a knife-specific entity
Fattoria Ramerino,2,knife_brand,non_english,Italian knife maker/brand associated with premium kitchen knives; outward branding appears primarily Italian rather than English.
"Frantoio Franci ""Villa Magra""",2,other,non_english,"Italian olive oil producer/product line; 'Villa Magra' is a premium extra virgin olive oil from Frantoio Franci, not a knife-related brand."
Awake,2,other,unclear,"Ambiguous term; could refer to a brand, person, or adjective, but not enough context to identify a knife-related entity."
Alive,2,other,unclear,"Ambiguous term; could refer to the knife brand Alive, but insufficient context to identify confidently."
Bariani,2,knife_brand,unclear,"Knife-related brand or maker name; likely a knife brand, but the specific entity is not clear from the name alone."
Apollo Olive Oil,2,other,english,"Olive oil brand/product name; not a knife-specific entity, but a food ingredient brand or label."
Greece,2,other,unclear,"Country in southeastern Europe; not a knife-specific brand, publication, retailer, community, smith, or product term."
Koroneiki,2,other,unclear,"An olive cultivar/variety name, not a knife-related brand or term."
Séka Hills Extra Virgin Olive Oil,2,other,english,"Extra virgin olive oil brand/product; not a knife-related entity, but a food product brand."
We Olive,2,retailer,english,US specialty retailer/brand name; in knife-discussion context likely a store or food retailer rather than a knife maker.
Belić,2,other,unclear,"Surname or name with diacritic; likely a person or family name, but not enough context to identify a knife-related entity."
Finca la Torre Hojiblanca,2,other,unclear,Spanish olive cultivar/olive oil-related term; not a knife brand or knife-specific entity.
Liokareas Estate,2,other,unclear,"Estate name; likely a winery or property brand, not a knife-specific entity."
Whole Foods,2,retailer,english,US grocery retailer and supermarket chain that also sells kitchen goods
Amazon,2,retailer,english,US-based e-commerce and retail platform that sells kitchen knives and related goods.
Roi,2,other,unclear,"Ambiguous name; could refer to a person, brand, or term, but not enough context to identify it as a knife-related entity."
Dean & DeLuca,2,retailer,english,Upscale gourmet food retailer and former specialty grocery chain; sometimes referenced for kitchen goods and cookware.
Murray's Cheese,2,retailer,english,US specialty food retailer and cheese shop brand; not a knife maker but a store name that could appear in kitchen-related discussion.
Stonehouse Olive Oil,2,other,english,Olive oil brand or producer; not a knife-specific entity.
Zoe,2,other,unclear,"A personal name; in a knife-discussion context this could refer to a person or brand, but there isn't enough context to identify it."
Katz Organic,2,other,unclear,"Likely a brand or product name, but the specific entity 'Katz Organic' is not clearly identifiable from the knife-discussion context."
Pianogrillo Extra Virgin Olive Oil,2,other,unclear,Extra virgin olive oil brand/product name; not a knife-related entity.
Lucero,2,knife_brand,unclear,"Ambiguous name; could refer to a knife brand or another entity, but not enough context to identify confidently."
Trader Joe's Premium 100% Greek Kalamata,2,other,english,"Trader Joe's Premium 100% Greek Kalamata appears to be a food product name, likely referring to Kalamata olives sold under Trader Joe's branding."
Frankies 457 Spuntino Olive Oil,2,other,english,"Olive oil product associated with Frankies 457 Spuntino, an Italian-American restaurant/food brand."
Olio Santo,2,other,unclear,"Name not clearly identifiable from knife-discussion context; possibly a brand or product name, but insufficient information to classify confidently."
De Carlo,2,other,unclear,"Ambiguous name; could refer to a person or brand, but not enough context to identify it as a knife-related entity."
The Olive Press,2,publication,english,"Likely a publication or media outlet; in a knife-discussion context, 'The Olive Press' most plausibly refers to an English-language news/publication brand."
La Española,2,other,non_english,Spanish-language phrase meaning 'The Spanish woman' or 'The Spanish one'; not a knife-specific brand or term.
Bono Sicilia,2,other,unclear,"Unclear reference; appears to be a proper name or phrase, possibly a place or brand, but not enough context to identify it as a knife-related entity."
New York International Olive Oil Competition,2,other,english,Competition/event focused on olive oil quality awards; not a knife brand or knife-specific entity.
Saveur,2,publication,english,US food and cooking magazine/publication
EVOO World Ranking,2,other,english,"Ranking or award related to extra-virgin olive oil (EVOO); not a knife-specific brand, retailer, publication, community, smith, or product term."
Mario Solinas Quality Award,2,other,unclear,An olive oil quality award named after Mario Solinas; not a knife-related brand or product term.
Olea Estates,2,other,unclear,"Likely a proper name for an estate or property; not a knife brand, retailer, publication, community, smith, or product term."
Nudo Adopt,2,knife_brand,unclear,"Unknown knife-related name; possibly a brand or model, but not enough context to identify confidently."
Durant Olive Mill,2,other,english,"Olive oil mill/producer; not a knife brand, retailer, publication, community, smith, or product term."
Flamingo Estate,2,other,english,"Lifestyle/home goods brand and retailer known for premium pantry, bath, and kitchen-adjacent products; not a knife-specific brand."
Rio Largo,2,other,unclear,"Unclear reference in a knife-discussion context; could be a place name or brand, but not enough information to identify confidently."
Herdade do Esporão,2,other,non_english,"Portuguese wine estate and brand (Esporão), not a knife-related entity."
Tierra Callada,2,other,unclear,"Unclear entity name in a knife-discussion context; possibly a place, phrase, or brand, but not enough information to identify it confidently."
DOP/PDO,2,other,unclear,"Abbreviation for Denominazione di Origine Protetta / Protected Designation of Origin; a food/geographic certification term, not a knife brand or retailer."
COOC,2,knife_brand,unclear,"Knife brand or maker name; likely a knife-related brand, but the exact identity and language presence are unclear from the name alone."
Kirkland Signature (Costco),1,retailer,english,Costco's private-label brand sold through Costco warehouses and online
Pompeian Organic,1,other,unclear,"Likely a product line or ingredient/brand phrase; not clearly a knife brand, retailer, publication, community, smith, or knife-specific technical term."
Trader Joe's Spanish/Greek EVOO,1,other,english,"Trader Joe's store-brand Spanish/Greek extra virgin olive oil (EVOO), a grocery product rather than a knife-related entity."
Costco Kirkland Organic EVOO,1,other,english,Costco Kirkland Organic EVOO (extra virgin olive oil) sold under Costco's Kirkland Signature private label
regular olive oil,1,product_term,english,Common cooking oil made from olives; a generic ingredient rather than a knife-specific brand or term.
pure olive oil,1,other,unclear,"A type of olive oil; not a knife-related brand, publication, retailer, community, smith, or knife product term."
reputable brand,1,other,unclear,Generic phrase referring to a brand with a good reputation; not a specific knife-related entity.
avocado,1,other,unclear,A fruit; not a knife-related entity.
canola,1,other,unclear,Canola oil or canola-related term; not a knife brand or knife-specific entity.
PDO/PGI,1,other,unclear,"Protected designation labels (PDO/PGI) used for geographic indication certification, not a knife brand or knife-specific term."
Pompeian Robust or Smooth EVOO,1,other,unclear,Extra-virgin olive oil product line or descriptor; not a knife brand or knife-related entity.
Trader Joe's California Estate EVOO or Sicilian EVOO,1,product_term,english,Extra-virgin olive oil product descriptor referring to Trader Joe's California Estate EVOO or Sicilian EVOO.
Pompeian Robust EVOO,1,other,unclear,Extra virgin olive oil product/brand name; not a knife-related entity.
Olive Oil,1,other,unclear,Cooking ingredient made from pressed olives; not a knife-specific brand or term.
Pure Olive Oil,1,other,english,"A brand/product name referring to olive oil, likely a food ingredient rather than a knife-specific entity."
Light Olive Oil,1,product_term,english,"A type of olive oil, likely referring to a lighter-flavored cooking oil rather than a knife-specific brand or entity."
Pompeian Pure Olive Oil,1,other,english,Brand/product name for olive oil; a food ingredient rather than a knife-related entity.
Kirkland Signature Olive Oil,1,other,english,"Kirkland Signature branded olive oil, a Costco private-label grocery product."
Trader Joe's 100% Italian Olive Oil,1,other,english,Trader Joe's branded 100% Italian olive oil product sold by the Trader Joe's grocery retailer.
Great Value Pure Olive Oil,1,other,english,Store-brand pure olive oil product sold under the Great Value label (Walmart house brand).
Roi Badalucco,1,smith,unclear,"Individual person named in a knife context; likely a bladesmith or knife maker, but I can't confidently identify the exact role or language presence from the name alone."
Kritsa,1,knife_brand,non_english,Greek knife maker/brand known among enthusiasts; likely a non-English-language brand name.
Roi Cru Monocultivar,1,other,unclear,"A monocultivar olive oil label/term ('Roi Cru Monocultivar'), not a knife brand or knife-related publication/retailer/community."
Erman's,1,other,unclear,"Possessive form of a name ('Erman's'); likely refers to a person or business name, but the specific entity is unclear from context."
Di Palo's,1,retailer,english,"Likely Di Palo's, an Italian specialty food retailer/deli in New York with English-language branding and presence."
First Day of Harvest,1,other,english,"Phrase/title that appears to be a seasonal or promotional name; not a known knife brand, retailer, publication, community, smith, or product term."
Castelvetrano Nocellara del Belice,1,other,unclear,"An olive cultivar/food term: Castelvetrano olives from the Nocellara del Belice variety, not a knife-related brand or publication."
Marqués de Griñón Oleum Artis,1,other,unclear,Spanish olive oil product/brand name; not a knife-related entity.
Tenuta di Capezzana Riserva,1,other,unclear,"An Italian wine label/riserva designation, likely referring to a wine from Tenuta di Capezzana rather than a knife-related entity."
Katz Family Estate,1,other,english,Family estate / brand name associated with Katz in a knife-discussion context; likely a property or estate rather than a knife maker or retailer.
"Castelvetrano ""Tenuta Pignatelli""",1,other,unclear,"Castelvetrano is a place name in Sicily; ""Tenuta Pignatelli"" appears to be a named estate or producer, likely not a knife-specific brand."
Tenuta Iuzzolini,1,other,unclear,Italian winery/estate name; not a knife-related brand or term.
Tenuta di Capezzana Nobile,1,other,unclear,"Likely an Italian wine estate or label name; not a knife-related brand, retailer, publication, community, smith, or product term."
Eleia Estate,1,other,unclear,"Likely an estate or property name; not a recognized knife brand, retailer, publication, community, smith, or product term in a knife-discussion context."
Ravida,1,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Australia,1,other,english,Country in Oceania; not a knife-specific entity.
Portugal,1,other,unclear,"Country in southwestern Europe; not a knife-specific brand, publication, retailer, community, smith, or product term."
Spanish Picual,1,other,unclear,"Spanish olive cultivar/varietal term, likely referring to Picual olives or olive oil rather than a knife-related brand or product."
Italian Tuscan-style blends,1,product_term,english,Tuscan-style blends from Italy; a culinary product term referring to a style of blended oils or seasonings rather than a knife brand.
Greek Koroneiki,1,product_term,unclear,Greek olive cultivar used for olive oil; not a knife-specific brand or term.
California estate EVOOs,1,product_term,english,California estate extra-virgin olive oils; a product/category term referring to olive oil from California estates.
O-Med Extra Virgin Olive Oil,1,other,english,Brand/product name for extra virgin olive oil; not a knife-specific entity.
Oro Bailén Reserva Familiar Picual,1,other,unclear,"Spanish extra-virgin olive oil product/brand line (Picual variety), not a knife-related entity"
Frantoio Franci Villa Magra Grand Cru,1,other,unclear,"An Italian olive oil product/estate name (Villa Magra Grand Cru) from Frantoio Franci, not a knife-related brand or term."
Olio Roi Mosto,1,other,unclear,"Italian olive oil producer/brand; 'Mosto' refers to unfiltered olive oil, not a knife-related entity."
The Olive Oil & Vinegar Store,1,retailer,english,Retail store specializing in olive oil and vinegar products.
Formaggio Kitchen,1,retailer,english,Boston-area specialty food and kitchen retailer that also sells knives and cookware.
Mandranova,1,knife_brand,unclear,"Unknown knife-related name; likely a brand or maker, but I can't confidently identify it from the name alone."
Olio Guglielmi,1,knife_brand,non_english,Italian knife brand / maker associated with premium kitchen knives and cutlery.
Zingerman's Delicatessen,1,retailer,english,"Delicatessen and food retailer/restaurant brand based in Ann Arbor, Michigan."
O Olive Oil,1,other,english,Olive oil brand/retailer name; a food product company rather than a knife-related entity.
Olive & Piper,1,other,english,"Brand name that does not appear to be a knife-specific entity; likely a general consumer brand or retailer, but not identifiable from the knife-discussion context."
Grove Collaborative,1,other,english,Consumer goods and household products company/retailer focused on eco-friendly home and kitchen-related products.
CitizensOfSoil,1,other,unclear,"Unrecognized entity name; likely a brand or handle, but not enough context to determine what it refers to."
Acetaia Bellei,1,other,unclear,Italian acetaia/producer of balsamic vinegar; not a knife-related brand or entity.
Destination Series,1,other,unclear,A named series or product line mentioned in a knife-discussion context; likely a model/series designation rather than a brand or person.
Eleones Throuba,1,other,unclear,"Unclear entity name in a knife-discussion context; possibly a product, place, or person, but not enough information to identify it confidently."
Oro Bailen Reserva Familiar,1,other,non_english,"Spanish extra-virgin olive oil brand/line; not a knife brand, but a premium food product often mentioned alongside kitchen tools."
Eleones tis Hloes,1,other,unclear,"Unrecognized phrase; appears to be a non-English name or transliteration, not clearly a knife brand or knife-related term."
Oliviada,1,knife_brand,unclear,"Unknown entity mentioned in a knife-discussion context; likely a knife brand or maker, but I can't confidently identify it from the name alone."
Eleones Mani,1,other,unclear,"Unclear entity name; possibly a person or place, but not enough context to identify it as a knife brand, retailer, publication, community, smith, or product term."
Kalamata PDO,1,other,unclear,Protected designation of origin (PDO) for Kalamata olives/olive oil; not a knife-related brand or term.
Fontodi,1,other,unclear,Italian wine estate/producer; not a knife-related brand or term.
Séka Hills Arbequina,1,other,english,"Arbequina olive oil from Séka Hills, a California agricultural brand; not a knife brand or knife-related publication/retailer/community."
Frantoio Franci Villa Magra,1,other,unclear,An olive oil product/estate name; not a knife brand or knife-related technical term.
Castelines Fruité Vert,1,other,unclear,"Unclear entity name; appears to be a product or model name, possibly a knife-related finish or line, but not enough context to identify confidently."
Marques de Grinon,1,other,non_english,"Spanish wine estate and label (Marqués de Griñón), not a knife-related brand"
Tenuta di Ghizzano,1,other,non_english,"Italian wine estate / winery in Ghizzano, not a knife-related brand"
Liokareas Olive Oil,1,other,english,"Olive oil brand/product line; not a knife-specific entity, but a consumer food brand."
Intini,1,knife_brand,non_english,Italian knife maker/brand known for kitchen knives; primarily associated with Italian-language branding.
Venta del Baron,1,other,unclear,Likely a Spanish olive oil brand/product name; not a knife-related entity.
Oliana,1,other,unclear,"Unclear reference; could be a place, person, or brand name, but not enough context to identify it as a knife-related entity."
Tuscanini,1,other,unclear,"Unclear reference in a knife-discussion context; possibly a brand or product name, but not enough information to identify confidently."
Monini Gran Fruttato,1,other,unclear,Italian extra-virgin olive oil brand/product line; not a knife-related entity
Tenuta di Fessina,1,other,unclear,"Italian winery/estate name; not a knife-related brand, retailer, publication, community, smith, or product term."
DaVero Farms & Winery,1,other,english,California winery and farm brand; not a knife-specific entity.
Quattrociocchi Superbo,1,knife_brand,non_english,Italian knife brand/model line; 'Quattrociocchi' is an Italian maker and 'Superbo' appears to be a product/model name.
Olio Novello,1,knife_brand,non_english,Italian knife brand known for kitchen knives; name is Italian and primarily associated with non-English branding.
Oleoestepa Reserva Familia,1,other,unclear,Likely a food product or brand name; not a knife-specific entity.
Gaea Fresh Greek EVOO,1,other,english,Greek extra virgin olive oil brand/product line; not a knife-related entity.
Costco's Kirkland extra virgin,1,other,english,Costco's Kirkland extra virgin olive oil/private-label grocery product line; not a knife-specific entity.
Columela,1,other,unclear,"Columela is a Spanish name/term; in a knife-discussion context it most likely refers to a person, place, or brand name, but the specific entity is unclear from the mention alone."
Frantoi Cutrera,1,other,non_english,"Italian olive oil producer/brand; not a knife-related entity, but a food brand name."
Costco's Kirkland Organic,1,other,english,"Costco's Kirkland Organic is a Costco private-label organic product line/brand, not a knife-specific entity."
Gaeta,1,other,unclear,"Ambiguous proper noun; could refer to a place, surname, or brand, but not clearly a knife-related entity from the name alone."
Odysea,1,other,unclear,"Unclear reference in a knife-discussion context; could be a brand, product line, or unrelated proper noun, but not enough information to identify confidently."
Kylie’s,1,other,unclear,"Possessive form of the given name Kylie; likely refers to a person or something associated with Kylie, but the knife-discussion context is insufficient to identify a specific entity."
García de la Cruz,1,other,unclear,"Name that appears to be a Spanish surname or place name; not clearly a knife brand, retailer, publication, community, smith, or product term in this context."
Masseria del Duca,1,other,unclear,"Unclear entity name in a knife-discussion context; likely a place, brand, or product name not confidently identifiable from the mention alone."
Gundry Ranch,1,other,english,"Ranch or farm name; not a knife brand, retailer, publication, community, smith, or product term."
La Tourangelle,1,other,english,French-origin food brand known for oils and pantry products; not a knife-specific entity.
Masseria Mirogallo,1,other,unclear,Likely an Italian place name or estate/producer name mentioned in a knife-related context; not clearly a knife brand or retailer.
Frankies 457 Spuntino,1,other,english,"New York restaurant and food brand (Frankies 457 Spuntino), not a knife-specific entity"
Marfuga,1,knife_brand,unclear,"Unknown knife-related name; likely a knife brand or maker, but I can't confidently identify it from the name alone."
De Cecco,1,other,non_english,Italian food brand known for pasta and related products; not a knife-specific entity.
Villa Manodori,1,other,unclear,"Italian food brand/product name; not a knife brand, retailer, publication, community, smith, or knife-specific technical term."
Farchioni,1,knife_brand,unclear,"Unknown entity name mentioned in a knife-discussion context; likely a brand or maker, but I can't confidently identify it from the name alone."
La Boella,1,other,unclear,"Unclear reference in a knife-discussion context; likely a proper name of a place, brand, or retailer, but not enough context to identify confidently."
Whole Foods 365 Organic EVOO,1,product_term,english,Organic extra-virgin olive oil product line sold under Whole Foods Market's 365 brand.
Pompeian Robust,1,other,unclear,"Possibly a product line or descriptor; not clearly a knife brand, retailer, publication, community, smith, or technical knife term."
Kyoord,1,knife_brand,unclear,"Knife-related brand or seller name; likely a knife brand or retailer, but I can't confidently identify it from the name alone."
Gaea Greek Extra Virgin Olive Oil,1,other,unclear,Greek extra virgin olive oil brand/product name; not a knife-specific entity.
Frankies 457 Spuntino Extra Virgin Olive Oil,1,other,english,"A branded extra virgin olive oil product from Frankies 457 Spuntino, a restaurant/food brand."
Bondolio,1,other,unclear,"Unrecognized name; likely a person, brand, or place mentioned in a knife-discussion context, but not enough information to identify confidently."
Minerva,1,other,unclear,Name that could refer to several things; in a knife-discussion context it is not clearly identifiable as a specific knife-related entity.
