brand_canonical,category,market_tier,search_input,target_tier,final_query_tier,acquisition_query,entity_label,lookup_ts,rationale
Lucini,oliveoil,mid-tier,Lucini olive oil,T3,EXCLUDED_E1a,Lucini olive oil,,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 17.7%. STRONG scale-mismatch case: AI Presence > 0 while Trends signal below global display threshold.
Manni,oliveoil,mid-tier,Manni olive oil,T3,EXCLUDED_E1a,Manni olive oil,,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 3.1%. Niche-on-both layers: AI Presence > 0 while Trends signal below global display threshold.
McEvoy Ranch,oliveoil,mid-tier,McEvoy Ranch,T2,EXCLUDED_E1a,/g/11rcbll42v,McEvoy Ranch — Topic,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 5.2%. Niche-on-both layers: AI Presence > 0 while Trends signal below global display threshold.
Núñez de Prado,oliveoil,challenger,Nunez de Prado,T2,EXCLUDED_E1a,/g/11g6qkzkv3,Nunez De Prado — Topic,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 4.2%. Niche-on-both layers: AI Presence > 0 while Trends signal below global display threshold.
Olio Verde,oliveoil,challenger,Olio Verde Becchina,T3,EXCLUDED_E1a,Olio Verde Becchina,,2026-05-11T02:22:11Z,E1a-EXCLUDED at Phase B lock. Solo validation FAIL_API; bundled validation ALL_ZERO. AI Presence at v0.9 matched subset = 22.9%. STRONG scale-mismatch case: AI Presence > 0 while Trends signal below global display threshold.
Asics,running,incumbent,Asics,T1,T1,/m/04xxy1,Asics — Sporting goods company,2026-05-11T02:15:03Z,PIVOT BRAND. Phase A validated 2026-05-11: mean 84.5; CV 7.9%; PASS.
Adidas,running,incumbent,Adidas running shoes,T3,T3,Adidas running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product-specific entities (Ultraboost; Runfalcon; etc). Severe polysemy: football / Yeezy / lifestyle dominate brand-level signal. Compound restricts to running.
Altra,running,challenger,Altra running shoes,T3,T3,Altra running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product-line entities (Experience; Lone Peak; Timp). 'Altra' is generic Italian/Spanish word; compound required.
Brooks,running,incumbent,Brooks running shoes,T3,T3,Brooks running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product entities (Ghost; Glycerin). Severe polysemy: Brooks Brothers / surname; compound essential.
Hoka,running,challenger,Hoka,T1,T1,/m/0_qhc0d,HOKA — Sportswear company,2026-05-11T02:22:11Z,Phase B suggestion #5. /m/ Freebase canonical preferred over #1 (Hoka One One pre-2021 rebrand topic). #2 Soccer / #3 marathon event / #4 Hokkaido are disambiguation noise.
New Balance,running,incumbent,New Balance running shoes,T3,T3,New Balance running shoes,,2026-05-11T02:22:11Z,Locked T3. CHANGED from 'New Balance shoes' to 'New Balance running shoes' for category-restriction consistency with Nike/Adidas/Brooks. Phase B did surface /m/08dr90 brand entity but T1 would over-count lifestyle (550s/990s) signal outside the running frame AI Presence operates in.
Nike,running,incumbent,Nike running shoes,T3,T3,Nike running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product-specific entities (Revolution; Vomero). EXTREME polysemy: Jordan / basketball / SB / lifestyle dominate. Compound essential.
Norda,running,challenger,Norda,T2,T1,/g/11w7d4p3c3,norda — Topic,2026-05-11T02:22:11Z,UPGRADE from T2 target. Phase B suggestion #1 clean brand-level Topic (lowercase 'norda' is brand's own styling).
On,running,challenger,On Cloud running shoes,T1,T3,On Cloud running shoes,,2026-05-11T02:22:11Z,DOWNGRADE from T1 target. CRITICAL DISAMBIGUATION. Phase B returned only product-line entities; no clean brand-level Topic for 'On' (English preposition collision). Compound with signature product line disambiguates. If Phase B validation fails: E1a-exclude.
Puma,running,mid-tier,Puma running shoes,T3,T3,Puma running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product entities (Deviate Nitro; Velocity). Animal 'puma' generates substantial non-brand signal; compound restricts.
Salomon,running,challenger,Salomon running shoes,T3,T3,Salomon running shoes,,2026-05-11T02:22:11Z,Locked T3. Phase B returned only product entities (XT-6; Speedcross). Salomon primarily a ski/winter sports brand; compound restricts to running.
Saucony,running,mid-tier,Saucony,T1,T1,/m/06brvd,Saucony — Footwear company,2026-05-11T02:22:11Z,Phase B suggestion #5. /m/ Freebase canonical preferred over #1/#4 Topic duplicates. Same /m/-prefix rationale as Asics.
Topo Athletic,running,challenger,Topo Athletic,T2,T1,/g/11c6tz2y63,Topo Athletic — Topic,2026-05-11T02:22:11Z,UPGRADE from T2 target. Phase B suggestion #1 clean brand-level Topic preferred over T2 bare string.
