arm,brand,cascade_order,cell,latency_ms,model_id,probe_text,recognized,resolved_version,response_text,slot,timestamp
A,Rolls-Royce,4,A,1886,claude-sonnet-4-5-20250929,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:48:19.782868+00:00
A,Rolls-Royce,4,A,630,gpt-4o-2024-11-20,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:20.412980+00:00
A,Rolls-Royce,4,A,436,gpt-4o-mini-2024-07-18,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:20.848628+00:00
A,Rolls-Royce,4,A,799,gemini-2.5-flash,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:21.647390+00:00
A,Rolls-Royce,4,A,628,gemini-2.5-flash-lite,Is the brand Rolls-Royce commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:22.275337+00:00
A,Bentley,5,A,1665,claude-opus-4-5-20251101,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:23.939936+00:00
A,Bentley,5,A,2109,claude-sonnet-4-5-20250929,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:48:26.049044+00:00
A,Bentley,5,A,639,gpt-4o-2024-11-20,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:26.688073+00:00
A,Bentley,5,A,1106,gpt-4o-mini-2024-07-18,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:27.794514+00:00
A,Bentley,5,A,1114,gemini-2.5-flash,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:28.908453+00:00
A,Bentley,5,A,421,gemini-2.5-flash-lite,Is the brand Bentley commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:29.329692+00:00
A,Porsche,6,A,1791,claude-opus-4-5-20251101,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:31.120640+00:00
A,Porsche,6,A,2354,claude-sonnet-4-5-20250929,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:48:33.474521+00:00
A,Porsche,6,A,1884,gpt-4o-2024-11-20,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:35.358424+00:00
A,Porsche,6,A,541,gpt-4o-mini-2024-07-18,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:35.899873+00:00
A,Porsche,6,A,1207,gemini-2.5-flash,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:37.107157+00:00
A,Porsche,6,A,336,gemini-2.5-flash-lite,Is the brand Porsche commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:37.443949+00:00
A,BMW,7,A,1707,claude-opus-4-5-20251101,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:39.150622+00:00
A,BMW,7,A,1641,claude-sonnet-4-5-20250929,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:48:40.791485+00:00
A,BMW,7,A,684,gpt-4o-2024-11-20,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:41.475699+00:00
A,BMW,7,A,429,gpt-4o-mini-2024-07-18,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:41.904590+00:00
A,BMW,7,A,988,gemini-2.5-flash,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,unclear,gemini-2.5-flash,,gemini_flash,2026-06-05T18:48:42.892648+00:00
A,BMW,7,A,456,gemini-2.5-flash-lite,Is the brand BMW commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:43.348510+00:00
A,Tesla,1,B,1317,claude-opus-4-5-20251101,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:44.665678+00:00
A,Tesla,1,B,1585,claude-sonnet-4-5-20250929,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:48:46.251028+00:00
A,Tesla,1,B,510,gpt-4o-2024-11-20,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:46.761520+00:00
A,Tesla,1,B,1117,gpt-4o-mini-2024-07-18,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:47.878331+00:00
A,Tesla,1,B,1407,gemini-2.5-flash,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,unclear,gemini-2.5-flash,,gemini_flash,2026-06-05T18:48:49.285544+00:00
A,Tesla,1,B,511,gemini-2.5-flash-lite,Is the brand Tesla commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:49.796252+00:00
A,Rivian,2,B,1946,claude-opus-4-5-20251101,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:51.742326+00:00
A,Rivian,2,B,1543,claude-sonnet-4-5-20250929,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:48:53.285577+00:00
A,Rivian,2,B,917,gpt-4o-2024-11-20,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:48:54.202424+00:00
A,Rivian,2,B,497,gpt-4o-mini-2024-07-18,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:48:54.699754+00:00
A,Rivian,2,B,846,gemini-2.5-flash,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:48:55.546235+00:00
A,Rivian,2,B,601,gemini-2.5-flash-lite,Is the brand Rivian commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:48:56.147393+00:00
A,Lucid,3,B,2361,claude-opus-4-5-20251101,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:48:58.508716+00:00
A,Lucid,3,B,2032,claude-sonnet-4-5-20250929,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:49:00.540867+00:00
A,Lucid,3,B,1446,gpt-4o-2024-11-20,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:01.986869+00:00
A,Lucid,3,B,918,gpt-4o-mini-2024-07-18,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:02.905471+00:00
A,Lucid,3,B,1738,gemini-2.5-flash,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:49:04.643942+00:00
A,Lucid,3,B,514,gemini-2.5-flash-lite,Is the brand Lucid commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:05.158135+00:00
A,Polestar,4,B,1644,claude-opus-4-5-20251101,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:06.802108+00:00
A,Polestar,4,B,1123,claude-sonnet-4-5-20250929,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:49:07.925009+00:00
A,Polestar,4,B,1134,gpt-4o-2024-11-20,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:09.059317+00:00
A,Polestar,4,B,607,gpt-4o-mini-2024-07-18,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:09.666849+00:00
A,Polestar,4,B,798,gemini-2.5-flash,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:49:10.464644+00:00
A,Polestar,4,B,529,gemini-2.5-flash-lite,Is the brand Polestar commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:10.993722+00:00
A,Fisker,5,B,1117,claude-opus-4-5-20251101,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:12.111014+00:00
A,Fisker,5,B,1585,claude-sonnet-4-5-20250929,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,no,claude-sonnet-4-5-20250929,No.,claude_sonnet,2026-06-05T18:49:13.696365+00:00
A,Fisker,5,B,645,gpt-4o-2024-11-20,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:14.341593+00:00
A,Fisker,5,B,954,gpt-4o-mini-2024-07-18,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:15.295888+00:00
A,Fisker,5,B,910,gemini-2.5-flash,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:49:16.206520+00:00
A,Fisker,5,B,639,gemini-2.5-flash-lite,Is the brand Fisker commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:16.845229+00:00
A,Toyota,1,C,1639,claude-opus-4-5-20251101,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:18.484791+00:00
A,Toyota,1,C,1863,claude-sonnet-4-5-20250929,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:49:20.347848+00:00
A,Toyota,1,C,783,gpt-4o-2024-11-20,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:21.130619+00:00
A,Toyota,1,C,845,gpt-4o-mini-2024-07-18,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:21.975516+00:00
A,Toyota,1,C,1619,gemini-2.5-flash,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:49:23.594488+00:00
A,Toyota,1,C,612,gemini-2.5-flash-lite,Is the brand Toyota commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:24.206525+00:00
A,Honda,2,C,1433,claude-opus-4-5-20251101,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:25.639446+00:00
A,Honda,2,C,4299,claude-sonnet-4-5-20250929,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:49:29.938185+00:00
A,Honda,2,C,718,gpt-4o-2024-11-20,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:30.656151+00:00
A,Honda,2,C,728,gpt-4o-mini-2024-07-18,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:31.383974+00:00
A,Honda,2,C,1012,gemini-2.5-flash,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,unclear,gemini-2.5-flash,,gemini_flash,2026-06-05T18:49:32.395696+00:00
A,Honda,2,C,513,gemini-2.5-flash-lite,Is the brand Honda commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:32.908920+00:00
A,Ford,3,C,1635,claude-opus-4-5-20251101,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:34.544526+00:00
A,Ford,3,C,1739,claude-sonnet-4-5-20250929,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:49:36.283307+00:00
A,Ford,3,C,500,gpt-4o-2024-11-20,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:36.782842+00:00
A,Ford,3,C,398,gpt-4o-mini-2024-07-18,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:37.180885+00:00
A,Ford,3,C,1011,gemini-2.5-flash,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:49:38.192091+00:00
A,Ford,3,C,655,gemini-2.5-flash-lite,Is the brand Ford commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:38.846707+00:00
A,Chevrolet,4,C,1025,claude-opus-4-5-20251101,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:39.871660+00:00
A,Chevrolet,4,C,1635,claude-sonnet-4-5-20250929,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:49:41.507281+00:00
A,Chevrolet,4,C,459,gpt-4o-2024-11-20,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:41.966368+00:00
A,Chevrolet,4,C,536,gpt-4o-mini-2024-07-18,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:42.502595+00:00
A,Chevrolet,4,C,871,gemini-2.5-flash,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:49:43.373664+00:00
A,Chevrolet,4,C,384,gemini-2.5-flash-lite,Is the brand Chevrolet commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:43.757943+00:00
A,Hyundai,5,C,1746,claude-opus-4-5-20251101,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:45.504312+00:00
A,Hyundai,5,C,2582,claude-sonnet-4-5-20250929,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:49:48.086647+00:00
A,Hyundai,5,C,903,gpt-4o-2024-11-20,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:48.990043+00:00
A,Hyundai,5,C,830,gpt-4o-mini-2024-07-18,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:49.820105+00:00
A,Hyundai,5,C,1420,gemini-2.5-flash,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:49:51.239736+00:00
A,Hyundai,5,C,407,gemini-2.5-flash-lite,Is the brand Hyundai commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:51.647321+00:00
A,Volkswagen,6,C,2048,claude-opus-4-5-20251101,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:53.695645+00:00
A,Volkswagen,6,C,1041,claude-sonnet-4-5-20250929,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes.,claude_sonnet,2026-06-05T18:49:54.736806+00:00
A,Volkswagen,6,C,701,gpt-4o-2024-11-20,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:49:55.437583+00:00
A,Volkswagen,6,C,920,gpt-4o-mini-2024-07-18,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:49:56.357618+00:00
A,Volkswagen,6,C,948,gemini-2.5-flash,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:49:57.306171+00:00
A,Volkswagen,6,C,586,gemini-2.5-flash-lite,Is the brand Volkswagen commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:49:57.891820+00:00
A,Nissan,7,C,1613,claude-opus-4-5-20251101,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:49:59.505047+00:00
A,Nissan,7,C,1372,claude-sonnet-4-5-20250929,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:50:00.877091+00:00
A,Nissan,7,C,460,gpt-4o-2024-11-20,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:50:01.336899+00:00
A,Nissan,7,C,595,gpt-4o-mini-2024-07-18,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:50:01.931859+00:00
A,Nissan,7,C,850,gemini-2.5-flash,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes,gemini_flash,2026-06-05T18:50:02.782023+00:00
A,Nissan,7,C,458,gemini-2.5-flash-lite,Is the brand Nissan commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:50:03.239721+00:00
A,Pontiac,1,D,2306,claude-opus-4-5-20251101,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:50:05.545826+00:00
A,Pontiac,1,D,1769,claude-sonnet-4-5-20250929,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:50:07.314765+00:00
A,Pontiac,1,D,613,gpt-4o-2024-11-20,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:50:07.927734+00:00
A,Pontiac,1,D,559,gpt-4o-mini-2024-07-18,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:50:08.486681+00:00
A,Pontiac,1,D,1069,gemini-2.5-flash,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:50:09.555742+00:00
A,Pontiac,1,D,420,gemini-2.5-flash-lite,Is the brand Pontiac commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:50:09.975833+00:00
A,Oldsmobile,2,D,1703,claude-opus-4-5-20251101,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:50:11.678826+00:00
A,Oldsmobile,2,D,1798,claude-sonnet-4-5-20250929,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,claude-sonnet-4-5-20250929,Yes,claude_sonnet,2026-06-05T18:50:13.477142+00:00
A,Oldsmobile,2,D,394,gpt-4o-2024-11-20,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-2024-11-20,Yes.,gpt_4o,2026-06-05T18:50:13.870950+00:00
A,Oldsmobile,2,D,613,gpt-4o-mini-2024-07-18,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,gpt-4o-mini-2024-07-18,Yes.,gpt_4o_mini,2026-06-05T18:50:14.484179+00:00
A,Oldsmobile,2,D,724,gemini-2.5-flash,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash,Yes.,gemini_flash,2026-06-05T18:50:15.208644+00:00
A,Oldsmobile,2,D,610,gemini-2.5-flash-lite,Is the brand Oldsmobile commonly recognized as a car brand? Answer yes or no.,yes,gemini-2.5-flash-lite,Yes,gemini_flash_lite,2026-06-05T18:50:15.818620+00:00
A,Plymouth,3,D,1738,claude-opus-4-5-20251101,Is the brand Plymouth commonly recognized as a car brand? Answer yes or no.,yes,claude-opus-4-5-20251101,Yes,claude_opus,2026-06-05T18:50:17.556389+00:00
